x y z u v
6.041842 0.889656 0.000000 0.976949 0.213473
2.041012 4.569519 0.000000 0.996799 0.079955
5.544191 1.685530 0.000000 0.996012 0.089216
5.773925 1.013124 0.000000 0.978368 0.206871
4.534096 1.830131 0.000000 0.999778 -0.021047
1.747587 1.066387 0.000000 0.997938 0.064178
5.676136 1.678233 0.000000 0.994925 0.100617
4.658237 1.671431 0.000000 0.999455 -0.033012
3.655213 1.463058 0.000000 0.998904 0.046810
5.081791 1.225844 0.000000 0.998760 0.049784
2.660098 1.255966 0.000000 0.991238 -0.132090
2.246245 0.401444 0.000000 0.999967 0.008133
0.074396 1.788200 0.000000 0.993505 -0.113790
1.354482 1.484128 0.000000 0.996831 -0.079546
0.902973 0.417472 0.000000 0.999063 0.043277
1.065720 2.381061 0.000000 0.371819 -0.928305
0.465741 2.699564 0.000000 0.997199 0.074798
0.724134 3.087808 0.000000 -0.742338 0.670026
0.650797 4.413796 0.000000 0.993660 0.112427
0.702991 5.138765 0.000000 0.999761 -0.021843
1.696090 5.661687 0.000000 0.999883 -0.015274
5.580263 4.542234 0.000000 1.000000 -0.000238
4.119605 4.531809 0.000000 0.999649 -0.026501
4.236075 3.519656 0.000000 0.435216 -0.900326
4.420225 2.578327 0.000000 0.497023 0.867737
8.280306 3.359322 0.000000 0.582265 0.812999
4.182151 4.419786 0.000000 0.999962 -0.008695
7.090789 4.787874 0.000000 0.998915 -0.046561
5.244608 1.946660 0.000000 -0.189077 -0.981962
8.699471 2.377352 0.000000 0.632359 0.774675
8.551065 2.090382 0.000000 0.844301 0.535869
7.516064 1.034685 0.000000 0.997836 -0.065755
5.732900 1.529251 0.000000 0.996960 0.077912
3.511691 0.855268 0.000000 0.999814 -0.019263
5.339262 1.164467 0.000000 0.995447 0.095322
5.035162 2.299480 0.000000 0.603151 -0.797627
4.458992 3.102120 0.000000 -0.225539 -0.974234
4.331386 3.030815 0.000000 0.329141 -0.944281
1.818313 5.017033 0.000000 0.999608 -0.027998
3.866687 4.841235 0.000000 0.999888 0.014954
4.972963 4.043373 0.000000 0.982292 -0.187354
3.499216 5.199007 0.000000 0.999988 -0.004808
6.020717 4.569345 0.000000 0.996446 -0.084234
5.491671 4.437511 0.000000 0.998348 -0.057450
6.018888 4.938999 0.000000 0.968766 -0.247978
8.186419 3.822607 0.000000 0.896192 -0.443667
7.434086 4.676389 0.000000 0.999134 -0.041603
