x y z u v
6.041842 0.889656 0.000000 0.974868 0.222782
2.041012 4.569519 0.000000 0.999960 0.008896
5.544191 1.685530 0.000000 0.999880 -0.015493
5.773925 1.013124 0.000000 0.974814 0.223022
4.534096 1.830131 0.000000 0.999940 0.010958
1.747587 1.066387 0.000000 0.995556 0.094167
5.676136 1.678233 0.000000 0.998156 -0.060700
4.658237 1.671431 0.000000 0.999934 0.011459
3.655213 1.463058 0.000000 0.998872 0.047481
5.081791 1.225844 0.000000 0.997547 0.070005
2.660098 1.255966 0.000000 0.999878 -0.015593
2.246245 0.401444 0.000000 0.999316 0.036984
0.074396 1.788200 0.000000 0.999973 -0.007353
1.354482 1.484128 0.000000 0.999895 -0.014485
0.902973 0.417472 0.000000 0.998276 0.058698
1.065720 2.381061 0.000000 0.999997 -0.002407
0.465741 2.699564 0.000000 1.000000 -0.000064
0.724134 3.087808 0.000000 1.000000 0.000016
0.650797 4.413796 0.000000 0.999389 0.034952
0.702991 5.138765 0.000000 0.998787 -0.049246
1.696090 5.661687 0.000000 0.999236 -0.039082
5.580263 4.542234 0.000000 0.999299 0.037446
4.119605 4.531809 0.000000 0.999219 -0.039512
4.236075 3.519656 0.000000 0.999946 -0.010372
4.420225 2.578327 0.000000 0.999987 0.005083
8.280306 3.359322 0.000000 0.959224 0.282645
4.182151 4.419786 0.000000 0.999915 -0.013002
7.090789 4.787874 0.000000 0.996501 -0.083585
5.244608 1.946660 0.000000 0.999442 0.033400
8.699471 2.377352 0.000000 0.622629 0.782518
8.551065 2.090382 0.000000 0.910179 0.414214
7.516064 1.034685 0.000000 0.992934 -0.118664
5.732900 1.529251 0.000000 0.999839 -0.017970
3.511691 0.855268 0.000000 0.999383 0.035130
5.339262 1.164467 0.000000 0.993453 0.114240
5.035162 2.299480 0.000000 0.995755 -0.092039
4.458992 3.102120 0.000000 1.000000 0.000115
4.331386 3.030815 0.000000 0.999999 0.001021
1.818313 5.017033 0.000000 0.996733 -0.080770
3.866687 4.841235 0.000000 0.999821 -0.018914
4.972963 4.043373 0.000000 0.999934 -0.011454
3.499216 5.199007 0.000000 0.998827 -0.048421
6.020717 4.569345 0.000000 0.999058 -0.043388
5.491671 4.437511 0.000000 0.999195 0.040118
6.018888 4.938999 0.000000 0.964765 -0.263114
8.186419 3.822607 0.000000 0.874714 -0.484639
7.434086 4.676389 0.000000 0.986364 0.164579
8.712969 3.032130 0.000000 0.996861 -0.079175
7.716084 5.609550 0.000000 0.986221 0.165433
1.865736 4.847040 0.000000 0.996749 -0.080574
1.309319 0.323029 0.000000 0.999331 0.036560
7.724552 0.701791 0.000000 0.980123 -0.198389
8.368992 1.579884 0.000000 0.990362 0.138500
0.369057 4.456589 0.000000 0.999835 0.018186
7.832767 0.773330 0.000000 0.976997 -0.213254
3.194154 0.742623 0.000000 0.999760 0.021914
5.028927 4.302277 0.000000 0.999618 -0.027643
3.780444 5.416353 0.000000 0.997961 -0.063825
4.949982 1.392326 0.000000 0.998262 0.058938
4.576080 1.711125 0.000000 0.999993 0.003850
4.412323 1.253329 0.000000 0.998689 0.051186
5.217876 3.881864 0.000000 0.999959 0.009033
4.546458 4.438133 0.000000 0.999792 -0.020414
8.057914 2.201712 0.000000 0.874286 0.485411
8.305669 2.142184 0.000000 0.888983 0.457941
8.442645 4.329078 0.000000 0.982166 -0.188017
1.428275 4.355007 0.000000 0.998150 0.060807
1.011826 4.456875 0.000000 0.999586 0.028756
1.523262 1.495189 0.000000 0.999518 -0.031048
0.766895 1.420574 0.000000 0.999992 -0.003984
3.378752 4.994264 0.000000 0.999378 -0.035251
3.515625 5.925822 0.000000 0.999867 -0.016282
3.992859 0.435168 0.000000 0.996877 0.078975
6.887703 5.170827 0.000000 0.999942 -0.010747
6.219965 5.102189 0.000000 0.989758 -0.142756
7.129697 0.927144 0.000000 0.997022 -0.077119
7.279086 1.495617 0.000000 0.979374 0.202055
5.242439 0.335239 0.000000 0.974798 0.223090
2.372914 4.961214 0.000000 0.995534 -0.094401
2.469622 4.772399 0.000000 0.996477 -0.083861
2.307567 1.004754 0.000000 0.997438 0.071536
6.627516 0.341053 0.000000 0.999010 0.044490
6.693823 0.917854 0.000000 0.998595 0.052988
2.506651 5.440734 0.000000 0.999485 -0.032080
2.984249 4.845948 0.000000 0.999652 0.026376
2.736654 1.170281 0.000000 0.998667 0.051618
2.348300 0.149527 0.000000 0.999900 0.014160
7.114336 4.610230 0.000000 0.961813 -0.273706
6.876955 5.046922 0.000000 0.999673 0.025576
5.687945 5.380318 0.000000 0.956467 -0.291839
8.946371 0.281250 0.000000 0.999552 -0.029943
0.568648 0.921352 0.000000 0.998090 0.061770
0.774608 3.514693 0.000000 0.999999 0.001007
0.857677 3.798543 0.000000 0.999989 0.004715
0.128370 2.235647 0.000000 1.000000 0.000089
8.620775 3.519038 0.000000 0.809769 -0.586748
8.713784 4.943707 0.000000 0.996363 0.085206
4.680344 3.438087 0.000000 1.000000 0.000513
4.777851 3.931502 0.000000 0.999991 -0.004298
0.290476 3.513106 0.000000 1.000000 0.000274
0.565797 4.249274 0.000000 0.999972 0.007438
0.779629 2.597276 0.000000 1.000000 -0.000151
7.642790 4.540167 0.000000 0.975163 -0.221490
8.179583 4.319236 0.000000 0.952893 -0.303305
7.966749 1.257353 0.000000 0.997230 0.074379
8.484799 1.462720 0.000000 0.998600 0.052901
4.097385 2.568949 0.000000 0.999859 0.016778
4.719963 1.949951 0.000000 1.000000 -0.000921
0.134127 0.268518 0.000000 0.998227 0.059516
7.981477 0.391832 0.000000 0.986563 -0.163382
7.975484 0.139753 0.000000 0.987818 -0.155616
8.688078 5.857109 0.000000 0.997888 0.064955
0.385961 5.355182 0.000000 0.998616 -0.052585
3.944393 4.353646 0.000000 0.999434 -0.033651
3.290634 4.571239 0.000000 0.998429 -0.056031
2.157796 5.472145 0.000000 0.999000 -0.044712
4.471474 0.809401 0.000000 0.994392 0.105760
4.223574 0.223761 0.000000 0.995778 0.091799
3.577313 0.510131 0.000000 0.998454 0.055577
3.859532 2.110720 0.000000 0.999839 0.017948
3.530815 1.287764 0.000000 0.999880 0.015468
4.867579 1.683999 0.000000 0.999997 -0.002276
4.983985 1.285301 0.000000 0.996800 0.079935
0.511174 2.918913 0.000000 1.000000 -0.000006
0.858931 3.138392 0.000000 1.000000 -0.000086
0.511174 3.054091 0.000000 1.000000 0.000005
6.680975 5.561407 0.000000 0.999734 -0.023074
6.140448 5.872044 0.000000 0.997300 -0.073433
3.344547 0.891404 0.000000 0.999759 0.021938
4.093207 0.784104 0.000000 0.997515 0.070460
3.584224 5.445725 0.000000 0.998495 -0.054849
3.261564 4.902215 0.000000 0.999962 0.008722
3.853884 4.719528 0.000000 0.998986 -0.045033
4.648380 5.707120 0.000000 0.991671 -0.128794
5.157250 5.282950 0.000000 0.982763 -0.184870
4.329676 5.595614 0.000000 0.995478 -0.094996
4.596299 5.611947 0.000000 0.992673 -0.120834
4.796406 4.763786 0.000000 0.997405 -0.071993
5.006794 5.046246 0.000000 0.991125 -0.132930
6.832189 0.804837 0.000000 0.999916 -0.012937
6.264835 0.566886 0.000000 0.992696 0.120642
7.016978 5.198337 0.000000 0.997771 0.066730
7.453125 5.950820 0.000000 0.999898 0.014313
1.975782 1.223322 0.000000 0.994892 0.100947
0.701007 0.427786 0.000000 0.997960 0.063842
3.560657 0.250605 0.000000 0.999098 0.042461
1.997723 0.775131 0.000000 0.997378 0.072370
1.299066 5.293578 0.000000 0.997559 -0.069826
5.855465 0.129700 0.000000 0.993699 0.112078
6.463127 0.449473 0.000000 0.999171 0.040710
6.247199 5.664361 0.000000 0.996667 -0.081575
5.426397 0.537620 0.000000 0.981203 0.192980
3.736089 5.226357 0.000000 0.998923 -0.046397
8.274199 3.076447 0.000000 0.994305 -0.106575
8.250896 2.958316 0.000000 0.969429 -0.245370
8.673889 2.671364 0.000000 0.984368 -0.176122
1.290142 4.354080 0.000000 0.996036 0.088950
1.399672 4.836618 0.000000 0.998439 -0.055849
1.171342 1.518743 0.000000 0.999595 -0.028466
0.932732 1.334059 0.000000 0.999989 0.004633
7.888669 4.549203 0.000000 0.981158 -0.193206
7.861876 4.766346 0.000000 0.997944 0.064092
4.544218 3.051057 0.000000 0.999994 -0.003333
4.227627 3.103305 0.000000 0.999994 -0.003523
4.656652 3.111742 0.000000 0.999984 0.005581
4.808748 3.470860 0.000000 0.999822 0.018884
5.949428 4.829653 0.000000 0.994262 -0.106976
5.883950 5.192144 0.000000 0.973135 -0.230235
8.015625 5.933207 0.000000 0.993075 0.117479
8.296090 5.496816 0.000000 0.985404 0.170235
7.719480 2.032373 0.000000 0.835206 0.549937
8.090268 1.275758 0.000000 0.999811 -0.019447
8.277717 4.850715 0.000000 0.998627 0.052384
